place_id,name,address,latitude,longitude,rating,user_ratings_total,price_level,cuisine,types,phone,website,url,scrape_timestamp
ChIJJ0oKB-XrwjsRF6Q55Yntf0o,Sadaguru The house of Paratha,"Katraj Depot, Santosh Nagar, Katraj, Pune",18.4460178,73.85692279999999,4.9,40.0,,Indian,"restaurant, food, point_of_interest, establishment",+91 84468 47016,https://www.swiggy.com/restaurants/sadguru-the-house-of-paratha-bibwewadi-katraj-pune-485053,,2025-10-18T11:50:53.562393
ChIJaROdvo_rwjsRwnuMiUUGY7g,KAVYA PURE VEG,"Anupam Arcade, Pune - Bengaluru Hwy, Katraj, Pune",18.4500552,73.8577225,4.5,28.0,,Indian,"restaurant, food, point_of_interest, establishment",+91 70309 07090,,,2025-10-18T11:50:53.877173
ChIJZbEfMQPrwjsRfww08COT_l0,Akshar Brahma Pure Veg,"Shri Vyankatesh Blossoms Building, Shop No.1 near Cosmos Bank, Bharati Vidhyapith, Datta Nagar Rd, Ambegaon Budruk, Pune",18.4528305,73.8510337,4.5,394.0,,Indian,"restaurant, food, point_of_interest, establishment",+91 93718 19099,https://www.facebook.com/aksharbrahmapureveg,,2025-10-18T11:50:54.195552
ChIJdaDG5ImVwjsRtlWABtQv0e0,The mango family garden restaurant,"39/8, near the mango family restaurant, Dalavi Nagar, Ambegaon Budruk, Pune",18.448667,73.8396886,3.8,945.0,2.0,Indian,"restaurant, food, point_of_interest, establishment",+91 98815 77576,https://gardenrestaurant.org/,,2025-10-18T11:50:54.507565
ChIJbwO1LM_qwjsRr2meZuZL-8s,Radha Krishna Pure Veg Family Restaurant,"FV32+Q95, Chandrabhaga Nagar Rd, Shriram Nagar, Dhankawadi, Pune",18.4545183,73.8509633,4.1,3534.0,2.0,Indian,"restaurant, food, point_of_interest, establishment",+91 93707 44741,,,2025-10-18T11:50:54.823636
ChIJIxV_uLeVwjsREW7eGIu6AYA,Hotel Vedant Pure Veg,"Tathe Building, opp. Astonia Royale, Ambegaon Budruk, Pune",18.4491768,73.8368026,4.1,5207.0,2.0,Indian,"restaurant, food, point_of_interest, establishment",+91 93597 26259,,,2025-10-18T11:50:55.132696
ChIJbWG7WhHrwjsR5BbdFI96_6k,Hotel Shahi Pune शाही पुणे,"bus Depo, Sr 56 . Plot no.1/3/1, Satara, Old, Gujarwadi Rd, near Chate School, Katraj, Pune",18.4407618,73.8599289,4.5,19.0,,Indian,"restaurant, food, point_of_interest, establishment",+91 90496 93339,,,2025-10-18T11:50:55.532730
ChIJ--f0TgCVwjsRRUy29wXi7l8,Rayba Dum Biryani,"Narhe Ambegaon Rd, near Bharat Petroleum, Bhumkar Nagar, Narhe, Pune",18.4490173,73.8339199,4.3,39.0,,Indian,"restaurant, food, point_of_interest, establishment",+91 77220 71818,,,2025-10-18T11:50:55.839223
ChIJ39ViE9jrwjsR6aQ6T_H73wk,Shrinath Misal & Pure veg restaurant,"01FV25+33X, Pune - Bengaluru Hwy, Katraj, Pune",18.4502991,73.85779819999999,4.3,14.0,,Indian,"restaurant, food, point_of_interest, establishment",+91 89759 69231,https://id.vyaparify.com/pure-veg-and-south-indin,,2025-10-18T11:50:56.114061
ChIJh5KMSs7qwjsRW4z2W6tCpag,Jai Bhavani Restaurant,"14, Chandrabhaga Nagar Rd, Dattanagar, Shriram Nagar, Katraj, Pune",18.4501903,73.8506048,4.1,528.0,,Indian,"restaurant, food, point_of_interest, establishment",+91 98600 23083,,,2025-10-18T11:50:56.455107
ChIJrcMz0d7qwjsRV7m880zvA3I,Royal Punjab Family Restaurant and Bar,"Hotel HMR Royal Inn,Survey 53/17B Near Katraj Chowk, Pune - Satara Rd, opp. Gandharva lawns, Katraj, Pune",18.4412858,73.86027399999999,3.8,503.0,2.0,Indian,"restaurant, food, point_of_interest, establishment",+91 79721 47636,https://www.facebook.com/royalpunjabrestaurantbar/,,2025-10-18T11:50:56.770640
ChIJmUW0dSHrwjsR_UCqNw3cvOg,Hotel kumau veg nonveg,"society, Jambhulwadi Rd, opposite Vasundhara, Dattanagar, Katraj, Pune",18.4364221,73.8464262,4.8,24.0,,Indian,"restaurant, food, point_of_interest, establishment",+91 77096 17301,,,2025-10-18T11:50:57.170016
ChIJu9FuUQCVwjsRM5d_qiA9y_c,HOTEL KRUSHNAI RESORT,"CRJP+P63, Mokarwadi, Jambhulwadi",18.4318005,73.8355713,4.8,17.0,,Indian,"restaurant, food, point_of_interest, establishment",+91 87883 38291,,,2025-10-18T11:50:57.479970
ChIJwyDkyCDrwjsRhdnpeeuAsF4,Ahilyadevi's Thali,"Sr No 62/3, In Front Of Om Dairy, 411046, Old, Pune - Satara Rd, opposite Tiranga, Pune",18.4352681,73.8598401,3.8,4866.0,3.0,Indian,"cafe, restaurant, food, point_of_interest, establishment",+91 72769 95920,,,2025-10-18T11:50:57.784414
ChIJ5YcVCK3rwjsRmdh3iIkMjwY,Tatvam Kitchen,"Dattakrupa Apartment, Shivanjali Lane, 1, Datta Nagar Rd, Ambegaon Budruk, Ambegaon",18.4486631,73.8503994,4.9,37.0,,Indian,"meal_delivery, restaurant, food, point_of_interest, establishment",,,,2025-10-18T11:50:58.095144
ChIJd_CRDVu_wjsRT8WKnEmTbFg,Biryani By Layer,"Flat No 504, Vishnu Heights, near Vision English Medium School, Narhe, Pune",18.4446832,73.83391859999999,5.0,41.0,,Indian,"restaurant, food, point_of_interest, establishment",+91 82374 70909,,,2025-10-18T11:50:58.487652
ChIJ7xXfasbPwjsR5O4U8cBKwpk,Aditya Dhaba,"PXHR+9JR, Mohitewadi, Bahul",18.7284811,73.9915221,4.7,27.0,,Indian,"restaurant, food, point_of_interest, establishment",,,,2025-10-18T11:50:59.535136
ChIJVwZeWwCVwjsRbuLW7HqKjwY,Hotel 12 Maval Singhgad,"Sinhgad Rd, Girinagar, Donaje",18.4133053,73.76521470000002,4.4,363.0,,Indian,"restaurant, food, point_of_interest, establishment",,https://g.co/kgs/LwoA4hs,,2025-10-18T11:51:01.153807
ChIJB57g9xCVwjsR_7A26rBGTlk,THE UPPER DECK Wine-Dine-Banquets,Ghera Sinhagad,18.4014926,73.7683699,4.6,27.0,,Indian,"restaurant, food, point_of_interest, establishment",,http://theupperdeck.co.in/,,2025-10-18T11:51:01.427888
ChIJ_ZZ3SNCVwjsRRyn8VZA4RkU,Jogeshwari Misal,"Donje Gaon-Sinhagad Rd, Pune, Girinagar",18.4145619,73.7618469,4.0,1111.0,2.0,Indian,"restaurant, food, point_of_interest, establishment",+91 86687 19946,,,2025-10-18T11:51:01.736658
