place_id,name,address,latitude,longitude,rating,user_ratings_total,price_level,cuisine,types,phone,website,url,scrape_timestamp
ChIJ1eqRprCawjsRvDxMY9SEaJ0,Hotel Torna Vihar,"At Post, Velhe, Velhe Bk.",18.2916059,73.63697069999999,4.4,409.0,2.0,Indian,"restaurant, point_of_interest, food, establishment",+91 90218 13512,,,2025-10-18T11:18:33.795259
ChIJsy6WLX6bwjsRa_Qk0bY3HjY,Leena's Cloud Kitchen,At. Post - Velhe Bk. (Bajrapeth). Tal-Velhe,18.2979565,73.63605629999999,4.9,17.0,,Indian,"meal_takeaway, restaurant, point_of_interest, food, establishment",+91 70301 38441,,,2025-10-18T11:18:34.278443
ChIJ4R-5ZQCbwjsRb-2UDPK0Ado,Mengai snacks centre and swarup kitchen,"Torna RoadVelhe, Velhe Bk.",18.2920701,73.6370723,5.0,1.0,,Indian,"restaurant, point_of_interest, food, establishment",,,,2025-10-18T11:18:34.847330
ChIJifmreruawjsRlRiNAeBS3dA,Hotel Visava Veg Non Veg,"Velhe, Velhe Bk.",18.2971621,73.6395799,4.5,290.0,1.0,Indian,"restaurant, point_of_interest, food, establishment",+91 84120 54521,https://sites.google.com/view/hotelvisava/menu,,2025-10-18T11:18:35.305830
ChIJj2JZ_FGbwjsRGuQOPaitWgo,Killedar Wada,"8J3V+HFQ, SH65, Velhe Bk.",18.3039436,73.64373499999999,4.5,73.0,,Indian,"restaurant, food, point_of_interest, establishment",+91 98503 23701,,,2025-10-18T11:18:36.605677
ChIJTXyUBQCRwjsRoaHN7SKB0tQ,Hotel Sarang,"8M3J+V8F, Khariv",18.3046907,73.68078229999999,4.5,27.0,,Indian,"restaurant, point_of_interest, food, establishment",,,,2025-10-18T11:18:37.740305
ChIJFZMVti-OwjsRSli49K4Hxik,Heritage View Resort Rajgad,"Vajeghar Rd, Merawane",18.27679,73.70999239999999,3.9,372.0,,Indian,"lodging, restaurant, food, health, point_of_interest, establishment",,,,2025-10-18T11:18:39.134794
ChIJh86kbADtwjsRT9BTRQUTRJo,Ram Krishna Veg Restaurant & Banquet,"Mumbai - Satara Hwy, opp. Univarsal company, Shivare",18.3135221,73.8641804,4.8,2749.0,,Indian,"restaurant, food, point_of_interest, establishment",+91 97304 44407,https://krishnarestaurant.org/,,2025-10-18T11:18:43.908209
ChIJ55ajq3PtwjsRJZjCgn4Er48,Kailas Bhel Food Court,"NH 48, Varve Bk, Shivare",18.3080147,73.8685302,4.2,5962.0,2.0,Indian,"restaurant, food, point_of_interest, establishment",+91 74174 13900,http://www.kailasbhelpune.com/,,2025-10-18T11:18:44.227646
ChIJNfFxJu_twjsRg0OqWx5qvSQ,Kuubera Pure Veg,"Gat no. 91, Tal.Bhor, Varve Budruk, pune",18.3075537,73.8675332,4.7,580.0,,Indian,"restaurant, food, point_of_interest, establishment",,,,2025-10-18T11:18:44.508824
ChIJUx2STDbtwjsRSOyRK6PSeQ8,Kaveri village,Shivare,18.3144274,73.8632047,4.6,11.0,,Indian,"restaurant, food, point_of_interest, establishment",,,,2025-10-18T11:18:44.769908
ChIJAQAApCrtwjsRFE7xCEMyPag,Vithal Kamats,"136.Chairman Vasti,Gram Shivare, near Khed Shivapur Toll Plaza, Tehsil, Bhor",18.3136072,73.86608869999999,3.6,7295.0,2.0,Indian,"cafe, restaurant, food, store, point_of_interest, establishment",+91 90040 91639,http://www.kamatsindia.com/,,2025-10-18T11:18:45.056906
ChIJ-4xfHWjtwjsRcAz4_-KvD2k,Omkar Misal House,"NH 4, Pune - Satara Rd, opp. Universal Company, Shivare",18.3125985,73.8653918,3.8,1002.0,1.0,Indian,"restaurant, food, point_of_interest, establishment",+91 90114 25257,https://www.facebook.com/pg/Omkar-Misal-House-391990574681293/community/,,2025-10-18T11:18:45.337623
ChIJtwzGO8jtwjsRgNCrDR05SKE,"Jogeshwari Misal shivare, near toll plaza","Mumbai kolhapur highway, 1km from khed shivapur toll plaza, Shivare",18.3134592,73.8653609,3.7,828.0,,Indian,"restaurant, food, point_of_interest, establishment",,,,2025-10-18T11:18:45.647067
ChIJv_4bUhrzwjsRBq5aX9CPoLo,Jagtap mala,"Chintamani, Back side of Hotel, Pune - Satara Rd, Kelawade",18.2795174,73.87657329999999,4.2,239.0,2.0,Indian,"restaurant, food, point_of_interest, establishment",+91 85548 68308,,,2025-10-18T11:18:46.703618
ChIJx56i9zXzwjsR1_52DB6FELk,Reddys Tandoor- Khed Shivapur,"Toll Naka, Pune - Satara Rd, After, Khed Shivapur, Kelawade",18.2762907,73.8773543,3.9,551.0,,Indian,"restaurant, bar, food, point_of_interest, establishment",+91 83294 88900,,,2025-10-18T11:18:46.990929
ChIJv823dADzwjsRVq52m3xKYP0,Vaango,"7VMG+X8Q, Mumbai - Satara Hwy, Pune",18.2850718,73.8758768,,,,Indian,"restaurant, food, point_of_interest, establishment",,,,2025-10-18T11:18:47.271720
ChIJjwgk-pTzwjsRK-HZOW_i2xc,Hotel Shetkari हॉटेल शेतकरी,"NH 48, Pune - Satara Rd, rode, Kelawade",18.284522,73.87458029999999,3.6,163.0,,Indian,"restaurant, food, point_of_interest, establishment",+91 90963 89099,,,2025-10-18T11:18:47.547464
ChIJc0EaC8XzwjsRfCYxxpmp5q4,Hotel Jai Malhar,"Satara - Pune road, Varve , varvegaon , khedshivapur, taluka - bhor, Varve Bk",18.3006356,73.87256719999999,4.6,20.0,,Indian,"restaurant, food, point_of_interest, establishment",+91 77983 87575,,,2025-10-18T11:18:47.809367
ChIJj6O0AbLzwjsRm3JigrWlCGg,Happy Da Punjab,"Behind Bharat Petrol Pump, Pune, warve, Bangalore Highway, Khed Shivapur",18.2991449,73.87417429999999,4.7,15.0,,Indian,"restaurant, lodging, food, point_of_interest, establishment",,,,2025-10-18T11:18:48.074337
ChIJlxNmkPLywjsRq6E7o7EDCZg,Kalyan Dhaba,"Pune Banglore Highway Kelwade, Pune",18.290238,73.873339,3.8,214.0,,Indian,"restaurant, food, point_of_interest, establishment",,,,2025-10-18T11:18:48.358815
ChIJ3ze0bDzzwjsRZ0H9PbHoAcA,Sardarji Food,"Beside of HP petrol pump, GATE NO. 522 Village Kelawade NH-4, Bengaluru - Mumbai Hwy, Pune",18.2888751,73.8738619,4.2,10.0,,Indian,"restaurant, food, point_of_interest, establishment",+91 84460 55599,,,2025-10-18T11:18:48.645128
ChIJw8PoGJLzwjsR4JAip1IInpo,Shree Datta Snacks,"BPCL Company Pump Warve, NH 4, Pune - Satara Rd, near Hotel Nataraj, Pune",18.2997949,73.874494,4.0,122.0,,Indian,"restaurant, food, point_of_interest, establishment",,https://shreedattasnacksexpressway.com/,,2025-10-18T11:18:48.917848
