name,cuisine,address,rating,latitude,longitude,phone,user_ratings_total,website,authenticity_score
Patil Restaurant,Indian,"PRMM+4P4, Kurali",4.4,18.7327534,73.8345087,+91 98900 12709,20.0,,4.3
HOTEL Maharashtra,Indian,"PVP4+VVH Bharat Petrol pump, Kurali",5.0,18.737178,73.857243,Not Available,1.0,,4.29
MK BIRYANI,Indian,Kurali,5.0,18.7158125,73.84593749999999,Not Available,2.0,,4.3
Hotel shreepaad,Indian,"Alandi Fata, Kurali",5.0,18.7232661,73.85459610000001,Not Available,2.0,,4.3
INDIAN SPICE HOTEL,Indian,"82H6+953, Diwale-Narayanpur Rd, Supe Kh.",4.3,18.3283877,74.01041649999999,Not Available,66.0,,4.29
Hotel Assal Marathmola,Indian,"H3QH+59Q, Wadebolai",5.0,18.5879733,74.0784785,Not Available,2.0,,4.3
Mamata's South Kitchen (Authentic Davanagere Butter Dosa & Idly),Indian,"Kad Nagar, Undri, Pune",4.6,18.4610887,73.91315399999999,+91 87479 44084,127.0,,4.46
Sugee Veg,Indian,"Sanket Pk 1, Tarawade Vasti, Undri, Pune",4.7,18.4783323,73.9260631,+91 93591 76699,818.0,,4.65
Udupi Krushnam,Indian,"FWHF+3X4, Tarawade Vasti, Hadapsar, Autadwadi Handewadi, Pune",4.8,18.4776143,73.9251338,+91 95612 04080,38.0,,4.43
Delicious South,Indian,"Shop No. 106, Marvel Sangria, NIBM Undri Road, Mohammed Wadi, Pune",4.6,18.463448,73.90733999999999,Not Available,22.0,,4.34
Naadbramha idli - Mohammed Wadi,Indian,"Shop no 3, Crystal park, Society, opposite Desai eye hospital, Mahadev Wadi, Mohammed Wadi, Pune",4.8,18.472672,73.92325509999999,+91 72197 02998,163.0,https://naadbramha.com/,4.6
KK FLAVOURS OF AMRITSAR,Indian,"Undri, NIBM Rd, chowk, Pune",4.6,18.4628081,73.91339049999999,+91 83696 28944,16.0,,4.33
Shree Maharaja Restaurant- Pure Veg,Indian,"Block-E, Arv Royale, Indira Nagar, Undri, Autadwadi Handewadi, Pune",4.3,18.4681116,73.9336971,+91 77568 92741,38.0,,4.29
Anna South Food,Indian,"Mohammadwadi Rd, near saraswati, Jarande Nagar, Kondhwa, Pune",4.3,18.4800529,73.9103679,+91 95523 41421,15.0,,4.29
Sayali Pure Veg,Indian,"Shop no, 104, Handewadi Rd, opp. Green City, Satav Nagar, Hadapsar, Pune",4.1,18.4749446,73.931422,+91 97629 59546,60.0,http://sayalipureveg.dotpe.in/,4.21
South Thindi,Indian,"Shop#2, next to Delhi Public School, Nyati County, Mohammed Wadi, Pune",3.8,18.4649205,73.9230907,Not Available,26.0,,4.18
SHREE BHOG - AUTHENTIC SOUTH INDIAN FOOD,Indian,"Shop no 3, Trimurti Villa, opp. H V Desai Eye Hospital, Mahadev Wadi, Mohammed Wadi, Pune",3.7,18.4724817,73.9232126,+91 70584 39595,93.0,,4.0
Silver Star Cafe & Food corner,Indian,"Lane No.18A, Mohammad Wadi Rd, Mohmmadwadi Ghule Nagar, Sayyed Nagar, Hadapsar, Pune",3.9,18.4859108,73.93075569999999,Not Available,347.0,,3.99
VISHWARAAJ FOOD CORNER,Indian,"Shopno1,2, Handewadi Rd, Satav Nagar, Hadapsar, Pune",3.9,18.4771129,73.9315426,+91 82081 65914,215.0,https://instagram.com/vishwaraaj_food_corner?igshid=YmMyMTA2M2Y=,4.02
BOX8 - India's Largest Desi Meals Brand,Indian,"Ground Floor, Dyandeep Complex, Jai Bhavani Complex, Undri - Hadapsar Rd, Nyati County, Mohammed Wadi, Pune",4.9,18.4622842,73.91395589999999,Not Available,344.0,https://eatclub.in/,4.76
Tirumala Bhavan,Indian,"SHOP NO.2, HAVELI Samrudhi P S, SR.NO.18, NIBM Rd, Kondhwa, Pune",4.7,18.4794657,73.8964104,+91 88300 22336,82.0,,4.47
Venkateshwara restaurant,Indian,"B G Lonkar Rd, Bhatnagar Colony, Kondhwa, Pune",4.3,18.4790758,73.89632379999999,+91 70204 98665,1054.0,http://venkateshwara.net/,4.3
Oota Maadi,Indian,"Shop No. 06, Empire Eternity, Salunke Vihar Rd, opp. Reliance Fresh, Kondhwa, Pune",3.9,18.4814524,73.89809699999999,+91 70300 68686,298.0,,4.0
ANNA,Indian,"281, Market Yard Rd, In front of Shivaji Statue, Market Yard, Gultekadi, Pune",4.1,18.4890619,73.86913109999999,+91 98222 93793,3824.0,,4.1
South Samrat Pure Veg,Indian,"Prasun Senate, Building, Salunke Vihar Rd, opp. Shamrao Vithal Bank, Near The Rosary School & Jr College - Salunkhe Vihar (New Management), Wanowrie, Pune",4.1,18.4821656,73.8959022,+91 80870 26002,3046.0,http://www.southsamrat.com/,4.11
"Mr and Mrs Idly, South Indian Restaurant Gangadham Shatrunjay Road | Opp. Shantinagar",Indian,"Shop No 6, Rajguruhi Business Hub, road, near Shri Shanti Nagar Society, Kasat Nagar, Kondhwa Budruk, Pune",4.5,18.4606429,73.87757289999999,+91 92268 46232,342.0,https://mrandmrsidlypune.com/,4.45
Sahil Restaurant,Indian,"383, 3rd Ln, Market Yard, Gultekadi, Pune",3.9,18.4864555,73.8690129,Not Available,197.0,,4.03
Meghdoot's Hotel,Indian,"43-47, Bibwewadi Kondhwa Road Ganga Parisar,, Gagan Samrudhi, Gangadham Phase II, Ganga Dham, Pune",4.0,18.4809059,73.87532929999999,+91 88060 01009,3622.0,,4.01
Jyoti Pure Veg Restaurant,Indian,"A1/1, Plot No-45/46, Ground Floor, Picasso Plaza, NIBM Cross Road, Krishnakevalnagar, Shivneri Nagar, Kondhwa, Pune",4.2,18.4780749,73.8902166,+91 20 2683 5503,8203.0,,4.2
Raju dosawala,Indian,"SR NO 657/8, Shelke vasti, nr. DTC, Upper Indira Nagar, Bibwewadi, Pune",4.8,18.4649965,73.8765671,Not Available,14.0,,4.35
The Spice Cartel Restaurant,Indian,"SARVODAYA SOCIETY, NIBM Rd, Sarvodaya Housing Complex, Kondhwa, Pune",5.0,18.4774655,73.8944447,Not Available,1.0,,4.29
Hyderabad Biryani House,Indian,"Sr No. 658/7, Shivray Nagar, Kondhwa Main Rd, Upper Indira Nagar, Bibwewadi, Pune",4.0,18.4610427,73.87666279999999,+91 72761 16613,24.0,,4.23
Tahari House,Indian,"Shop no. 2, S R. 14 S K prime building Kausarbaug Society, Kausar Baugh Rd, near Kausarbaug, Pune",4.0,18.4737657,73.89351169999999,+91 98902 35704,1396.0,,4.02
Cafe Zam Zam - Veg/Non-Veg,Indian,"FVFR+8CW, Kausar Baugh, Kondhwa, Pune",4.0,18.4733617,73.8910701,+91 20 2683 6912,4080.0,,4.01
One by Two ( Daily Tiffin Service and Party Event Thali ) pune,Indian,"Saibaba Nagar, Kondhwa, Pune",4.8,18.4697069,73.8790235,+91 77209 99109,30.0,https://www.instagram.com/onebytwocloudkitchen?igsh=NW5ocmR0ZWFjNTY5,4.4
Pops Kitchen,Indian,"Shop No 8, Burhani Colony, Market Yard, Gultekadi, Pune",5.0,18.4828645,73.8719278,Not Available,12.0,,4.36
Sardarji's Paratha & Chaap House,Indian,"shop no. 1, Majestic Biznow, Kondhwa, Pune",4.1,18.4802775,73.8961686,+91 98223 55249,959.0,,4.12
Hotel Subhanallah,Indian,"opp. Prega Clinic and Cafe Zamzam, Kausar Baugh, Kondhwa, Pune",4.4,18.4730639,73.8913701,+91 94221 94195,53.0,,4.32
DESTINATION BIRYANI & CHINESE HOUSE,Indian,"Swami Vivekanand Rd, near Jagtap dairy, Kasat Nagar, Kondhwa Budruk, Pune",5.0,18.4611661,73.873582,+91 99709 73020,34.0,,4.47
Chula,Indian,"Narayan Tower, Narayan Annaji Shinde Road, Behind Salunke Vihar Telephone Exchange, Near NIBM Road, Pune",3.5,18.4787368,73.90151390000001,+91 84079 85039,86.0,,3.92
Gokul Pure Veg,Indian,"Opp, Gangadham - Shatrunjay Rd, Shanti Nagar Society, Kondhwa Budruk, Pune",4.0,18.4598908,73.8777492,+91 90670 30534,4235.0,https://mygokul.com/,4.01
Delhi Darbar Biryani,Indian,"FV6G+C4C, Shivrai Nagar, Upper Kondhwa Rd, Kasat Nagar, Kondhwa Budruk, Pune",4.0,18.4610953,73.8752724,+91 88875 29908,657.0,,4.04
The Food Gallery,Indian,"Roopanand Apartment, 95, Sahaney Sujan Park, Lullanagar, Pune",4.6,18.484273,73.88959899999999,+91 98220 00433,22.0,https://www.thefoodgallery.in/,4.34
Jashn,Indian,"Salunke Vihar Rd, next to Rosary School, opp. SVC Bank, Clover Village, Wanowrie, Pune",4.1,18.4824543,73.8955304,+91 91588 30817,6953.0,,4.1
Deccan Darbar Restaurant & Cafe,Indian,"Sr No.10, Kapre Male, near KGN Suzuki Showroom, Kausar Baugh, Kondhwa, Pune",4.1,18.4713158,73.891291,+91 93709 87123,601.0,https://delhidarbarrestaurant.com/,4.13
Swaad Punjabi,Indian,"Shop No 21, Sunshree Suntech CHS, K, Narayan Annaji Shinde Rd, Kondhwa, Pune",5.0,18.4779205,73.9016749,+91 99717 41722,90.0,,4.62
Madinah Restaurant,Indian,"Kausar Baugh Rd, Near Kausar Baug Masjid, Kausar Baugh, Kondhwa, Pune",3.9,18.4720496,73.8933617,+91 89283 85828,5491.0,http://www.madinahmart.in/,3.91
Loft On The Top,Indian,"Floor no-6, Clover Metropole, Clover Highlands Undri Rd, Kondhwa, Pune",4.2,18.4727389,73.8994776,+91 72629 35252,588.0,http://loftonthetop.com/,4.21
Kareem's Kebab,Indian,"19, Narayan Annaji Shinde Rd, Salunkhe Vihar Society, Kondhwa, Pune",2.0,18.4803762,73.90143739999999,+91 98500 64255,22.0,,3.87
Spice Culture Bar and Kitchen,Indian,"Shop no 1, Narayan Tower, off Vitthal Rao Shivarkar Road, near Telephone Exchange, Kondhwa, Pune",4.3,18.4788373,73.9011751,+91 86696 68855,1339.0,,4.3
Royal Cafe,Indian,"Shop No 1, Raviraj Astria, Parge Nagar, Kondhwa, Pune",4.5,18.4649526,73.8901707,+91 75884 97373,6.0,,4.3
Shahji's Parantha House (Gangadham),Indian,"Shop no 18 & 19, Apex Business Court, 588, Bibwewadi Kondhwa Rd, Gaganvihar, Gangadham Phase II, Ganga Dham, Pune",4.8,18.4815882,73.87650839999999,+91 77099 93396,1630.0,https://www.shahjis.com/,4.77
A1 Bombay Caterers,Indian,"FV8M+GHP, Unity Park Road, opp. Chand K Plaza, Meeta Nagar, Kondhwa, Pune",4.3,18.4663533,73.883965,Not Available,,,
Happy Da Punjab,Indian,"Behind Bharat Petrol Pump, Pune, warve, Bangalore Highway, Khed Shivapur",4.7,18.2991449,73.87417429999999,Not Available,15.0,,4.34
Jagtap mala,Indian,"Chintamani, Back side of Hotel, Pune - Satara Rd, Kelawade",4.2,18.2795174,73.87657329999999,+91 85548 68308,239.0,,4.22
