name,cuisine,address,rating,latitude,longitude,phone,user_ratings_total,website,authenticity_score,summary_text
Patil Restaurant,Indian,"PRMM+4P4, Kurali",4.4,18.7327534,73.8345087,+91 98900 12709,20.0,,4.3,"Patil Restaurant Indian PRMM+4P4, Kurali Rating: 4.4"
HOTEL Maharashtra,Indian,"PVP4+VVH Bharat Petrol pump, Kurali",5.0,18.737178,73.857243,Not Available,1.0,,4.29,"HOTEL Maharashtra Indian PVP4+VVH Bharat Petrol pump, Kurali Rating: 5.0"
MK BIRYANI,Indian,Kurali,5.0,18.7158125,73.84593749999999,Not Available,2.0,,4.3,MK BIRYANI Indian Kurali Rating: 5.0
Hotel shreepaad,Indian,"Alandi Fata, Kurali",5.0,18.7232661,73.85459610000001,Not Available,2.0,,4.3,"Hotel shreepaad Indian Alandi Fata, Kurali Rating: 5.0"
INDIAN SPICE HOTEL,Indian,"82H6+953, Diwale-Narayanpur Rd, Supe Kh.",4.3,18.3283877,74.01041649999999,Not Available,66.0,,4.29,"INDIAN SPICE HOTEL Indian 82H6+953, Diwale-Narayanpur Rd, Supe Kh. Rating: 4.3"
Hotel Assal Marathmola,Indian,"H3QH+59Q, Wadebolai",5.0,18.5879733,74.0784785,Not Available,2.0,,4.3,"Hotel Assal Marathmola Indian H3QH+59Q, Wadebolai Rating: 5.0"
Mamata's South Kitchen (Authentic Davanagere Butter Dosa & Idly),Indian,"Kad Nagar, Undri, Pune",4.6,18.4610887,73.91315399999999,+91 87479 44084,127.0,,4.46,"Mamata's South Kitchen (Authentic Davanagere Butter Dosa & Idly) Indian Kad Nagar, Undri, Pune Rating: 4.6"
Sugee Veg,Indian,"Sanket Pk 1, Tarawade Vasti, Undri, Pune",4.7,18.4783323,73.9260631,+91 93591 76699,818.0,,4.65,"Sugee Veg Indian Sanket Pk 1, Tarawade Vasti, Undri, Pune Rating: 4.7"
Udupi Krushnam,Indian,"FWHF+3X4, Tarawade Vasti, Hadapsar, Autadwadi Handewadi, Pune",4.8,18.4776143,73.9251338,+91 95612 04080,38.0,,4.43,"Udupi Krushnam Indian FWHF+3X4, Tarawade Vasti, Hadapsar, Autadwadi Handewadi, Pune Rating: 4.8"
Delicious South,Indian,"Shop No. 106, Marvel Sangria, NIBM Undri Road, Mohammed Wadi, Pune",4.6,18.463448,73.90733999999999,Not Available,22.0,,4.34,"Delicious South Indian Shop No. 106, Marvel Sangria, NIBM Undri Road, Mohammed Wadi, Pune Rating: 4.6"
