place_id,name,address,latitude,longitude,rating,user_ratings_total,price_level,cuisine,types,phone,website,url,scrape_timestamp
ChIJXZALWRe3wjsRiwjULznCVuI,Patil Restaurant,"PRMM+4P4, Kurali",18.7327534,73.8345087,4.4,20.0,,Indian,"restaurant, point_of_interest, food, establishment",+91 98900 12709,,,2025-10-21T04:25:20.005037
ChIJabJ7xdnJwjsRABVCxltZtyQ,HOTEL Maharashtra,"PVP4+VVH Bharat Petrol pump, Kurali",18.737178,73.857243,5.0,1.0,,Indian,"restaurant, point_of_interest, food, establishment",,,,2025-10-21T04:25:20.290021
ChIJOQ7XeQDJwjsRaQCW5VDda00,MK BIRYANI,Kurali,18.7158125,73.84593749999999,5.0,2.0,,Indian,"restaurant, point_of_interest, food, establishment",,,,2025-10-21T04:25:20.800813
ChIJ1cruedTJwjsRvfNgRmt7T5M,Hotel shreepaad,"Alandi Fata, Kurali",18.7232661,73.85459610000001,5.0,2.0,,Indian,"restaurant, point_of_interest, food, establishment",,,,2025-10-21T04:25:21.120627
ChIJvfBeab3vwjsRgzk_YKuJrIo,INDIAN SPICE HOTEL,"82H6+953, Diwale-Narayanpur Rd, Supe Kh.",18.3283877,74.01041649999999,4.3,66.0,,Indian,"restaurant, food, point_of_interest, establishment",,,,2025-10-21T04:25:25.444875
ChIJCffdcQDdwjsR7Pja6B65VWc,Hotel Assal Marathmola,"H3QH+59Q, Wadebolai",18.5879733,74.0784785,5.0,2.0,,Indian,"restaurant, food, point_of_interest, establishment",,,,2025-10-21T04:25:29.575570
ChIJ53YmcKzrwjsRcZHFwiJnDd4,Mamata's South Kitchen (Authentic Davanagere Butter Dosa & Idly),"Kad Nagar, Undri, Pune",18.4610887,73.91315399999999,4.6,127.0,,Indian,"restaurant, point_of_interest, food, establishment",+91 87479 44084,,,2025-10-21T04:25:31.502240
ChIJyymHQk7rwjsRMG5mkzO50g0,Sugee Veg,"Sanket Pk 1, Tarawade Vasti, Undri, Pune",18.4783323,73.9260631,4.7,818.0,,Indian,"restaurant, point_of_interest, food, establishment",+91 93591 76699,,,2025-10-21T04:25:31.895974
ChIJ0a74EgDrwjsRCInj2jjqNuk,Udupi Krushnam,"FWHF+3X4, Tarawade Vasti, Hadapsar, Autadwadi Handewadi, Pune",18.4776143,73.9251338,4.8,38.0,,Indian,"restaurant, point_of_interest, food, establishment",+91 95612 04080,,,2025-10-21T04:25:32.213154
ChIJtSXzbgDrwjsR3gF1IiBE5CY,Delicious South,"Shop No. 106, Marvel Sangria, NIBM Undri Road, Mohammed Wadi, Pune",18.463448,73.90733999999999,4.6,22.0,,Indian,"restaurant, point_of_interest, food, establishment",,,,2025-10-21T04:25:32.612990
ChIJ3cWhP6XrwjsRVl7rDvnlk_0,Naadbramha idli - Mohammed Wadi,"Shop no 3, Crystal park, Society, opposite Desai eye hospital, Mahadev Wadi, Mohammed Wadi, Pune",18.472672,73.92325509999999,4.8,163.0,,Indian,"restaurant, point_of_interest, food, establishment",+91 72197 02998,https://naadbramha.com/,,2025-10-21T04:25:33.030548
