name,cuisine,address,latitude,longitude,phone,rating,types,user_ratings_total,vicinity,photo,scrape_timestamp
Oakwood Residence Naylor Road Pune,Indian,"Oakwood, off Mangaldas Road, Naylor Road, Pune",18.5354746,73.8846038,,4.4,"lodging,restaurant,food,point_of_interest,store,establishment",1022,"Oakwood, off Mangaldas Road, Naylor Road, Pune","[{'height': 3743, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104022461661022692519"">Oakwood Residence Naylor Road Pune</a>'], 'photo_reference': 'AciIO2cgw077sGxJqv5sYeu1TYaAVC8A_4YTy9n6--brzsLHURi10Zj1JmoBOSuAjVUcC2BrmmT9j3QKkm524L18OIwNU-g10qSTPj4kHMMReTiYqGK6z9QhZbUSwc4f1lZ0mASKWBFo7KpBZpiFBb92xZZ0YUpWx8S3edMZWNRcUcn8Rzlrk4xUlfQyYP4nJHuJKNI2rH0kOgYsF9l3YJgw3lJl0olP48ctUPYfiGgEinz4GlXUYs-HIduoLtUU56nh6sbupoj63TScZK2rR5_28w7UCd4JYGdxua9UrgZbWwcmM3BfNEyQtT61_54gbc9-RbqskrQhBTI', 'width': 5615}]",2025-10-17T07:30:31.023871
The Corinthians Resort Pune,Indian,"Corinthians Club Internal Road, Nyati County, Undri, Pune",18.4638854,73.9194443,,4.4,"spa,lodging,night_club,restaurant,food,point_of_interest,establishment",4415,"Corinthians Club Internal Road, Nyati County, Undri, Pune","[{'height': 3680, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100158823991026575412"">The Corinthians Resort Pune</a>'], 'photo_reference': 'AciIO2cH-fArXtZHYVi_fEABvA0gCkQaxqahpnUnJSDJ5AxRxAxi34oPkh2O9r4G-mvhL_QHuFCakLInoi-dZv-S21eEy06M30fCUGHbfeVKVuew8K4-gScqyBVS0q574uKIzyunK6tg1iRtDeT2NuTh4kBcYFtLoXYRtP_2sBpm5GVCzATJW0hBLzMVtk_GU5ORQDOTRBhAA_hyK5wUJ80P8v26mXFscYJP12sNtrQosC4Xx9v9eW4YYspk3gHr_PChLUNRw6FX0NhsU94JMv5rcCmHjJKfNVkvu-svy7E8Aj1WAt_CzGcKJYXK4dLgEploLHPkHresnkI', 'width': 5520}]",2025-10-17T07:30:31.126132
Hotel Shree Panchratna,Indian,"behind Railway Station, 7, Tadiwala Road, Sangamvadi, Pune",18.5313923,73.8746985,,4.3,"lodging,restaurant,food,point_of_interest,establishment",3146,"behind Railway Station, 7, Tadiwala Road, Sangamvadi, Pune","[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100976294083959740607"">Hotel Shree Panchratna</a>'], 'photo_reference': 'AciIO2cB--UbyEWGUKI575lXi5-BqnqXAtpDk6PsswVWBt7ml30bhMNDtyoC2I8KFe8i9iIXAg2vb_9rpdyfqrlHvH36kxKbcJB22cPc08exe7_botcryZGYyMxIQ4_l-lqDzHWfI3JGwYL3Wk8mD9LAuiTtbV55yDXX_OW6awuKKTjN2qMWrZ7P-5exTEPbsmBcJK4TdSNy_FaKTERQ7gzaBD_ClXDSw4b8uFy95Kv3h9KN0ZqJ2DUramTkRvZZ2cKPvOlqpSdl3fXzizPyBv3QAKAnEx0ftoWiRv9QSSj5yLLr5ROlo7D2zFcih3a_hlT8JSbvQgsZ3iI', 'width': 4032}]",2025-10-17T07:30:31.228437
Shantai Hotel,Indian,"Off Moledina Road, Camp, 10/3, Rasta Peth, Pune",18.5195905,73.871083,,4.2,"lodging,restaurant,food,point_of_interest,establishment",5980,"Off Moledina Road, Camp, 10/3, Rasta Peth, Pune","[{'height': 400, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106438235332354121854"">Shantai Hotel</a>'], 'photo_reference': 'AciIO2cFeiXLHVjbl1bdZzuc2DlyH42LmTjGVI09J5VdvkSqIZbcQjdOZioAG7t46UPEIFl_BL1rWp93-_w10WCu_plpvsZGNAzg_qziznb8GDZoShYwsW1mvTSgdQlc0lsngW1Z-jNKjY4Vw1OmF6-XJKEhB-n8UQDT1Ft8kxlC5k0rDpJQfih-wDbuud2YrVHpU0hhGI7nIqketx6_DpdbfjiiNl58nPm9d5SSIxJLKtiUuwPcPtvQpktfEKhc0HkwkhOMvawPgEEAv76aVDA_CuzDNpwXE0M4Dz0AiHzWWANk0cJVTTMlOEcbm-D3BosSF5oaa8ZIarM', 'width': 600}]",2025-10-17T07:30:31.329625
"St Laurn - Koregaon Park, Pune",Indian,"15/A, Koregaon Road, Koregaon Park, Pune",18.538576,73.8859192,,3.9,"lodging,restaurant,food,point_of_interest,establishment",12423,"15/A, Koregaon Road, Koregaon Park, Pune","[{'height': 768, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105121072319214948317"">St Laurn - Koregaon Park, Pune</a>'], 'photo_reference': 'AciIO2epAdYwd8SrswcfAiJyCSysRlXCdWdI-OyNwSGwL38TOx8ySECINZUu_T_WONVX5DJUOPl1KBcfwOsLF-s7biIAu115HCwTyXJymrysASTEEmkFkRqiPgNDrOI_N8qaDVrCYG-ZRuyYvxukq1CvqhvHRfLnp7Ves-Oec9AFNl3lmceR7dA09gHgSSwubZ2-ZXvqHlUW07rNgqvBcpXnAZkPj7BRdjqPpk4n6M-VkX1u_7mh-WOZWgU5m_mKvqmcEp_zpGwmWDBNsnxtI8sFQAS_z1IBx48LzCmK9aubpJJjP1rkysBPULoDgxsDBqLCXLTwEF9QPnI', 'width': 1024}]",2025-10-17T07:30:31.430970
Shahji's Parantha House(Apte road),Indian,"1205/4, The Coronet Hotel, Apte Road, Deccan Gymkhana, Pune",18.5225322,73.8446109,,4.5,"restaurant,food,point_of_interest,establishment",1276,"1205/4, The Coronet Hotel, Apte Road, Deccan Gymkhana, Pune","[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114458319463102984170"">Shahji&#39;s Parantha House (Apte Road)</a>'], 'photo_reference': 'AciIO2ez-a3Ajj9WKd53Kg-hTODC43ep8M1F-feIkA9MQNQxlL8uiRzMenzuamw6OLq8T-uHJBZzCVqpFCTrt-TXqbReb6AApA0eRJQU9dunyEVFTQNOyGgPHfDcyIcplLufjAMzFy6Jv6CTrTJnh_QktDavPn9TR4FJqPV-vN6wQ6KYCgxf1mmErbizOj5PJvzN1wgOiVd3odjMjs2YtuVC2vu826R6zcinqnAf3Eb6XfEsRtgs2u_vlkvuN15PXe3zDCx7r67BHDwCJq9PZj-QIcysB6tEWC_tKdrJ7a2BGorslM1rUjP5MbmSDurHZQPctQYmI_uToRg', 'width': 6000}]",2025-10-17T07:30:31.532841
Lakme Executive Hotel Now Managed By Rapid Hospitality,Indian,"LAKME EXECUTIVE THE BUSINESS HOTEL, Pune",18.5243924,73.8421639,,3.7,"lodging,restaurant,food,point_of_interest,establishment",1156,"LAKME EXECUTIVE THE BUSINESS HOTEL, Pune","[{'height': 643, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115185635968430075967"">Lakme Executive Hotel Now Managed By Rapid Hospitality</a>'], 'photo_reference': 'AciIO2eOm9Taziui-h8lJWFz1PsenC1xDr6u8ZCsjBqHUGz72DjMHuREbvwCAMNQ5q1Nz7qu6YcOBRkdLR8iAmjF8KpB8wedVd1haJ_PVR7CFPeZrnNRmwTl0qwS9-mCye_cbw4buOVOLN4pMphrJsgPiQzJUkCaTp5crQRH29w2UNZJgEq6UQtkXK5pYNIDyBxdXpHXdDWaPvOa2h6_BARlrnlqprldhgT0NHQPI1XaXIS86-9iHDN9zPp-YYCoa5KvSF-V3mHPAcF7qfjoQYSUc02hHUOcrV_OND4zL3VMIocsh33yd12_2jap0rUJZJtxM2gBLGrpPd4', 'width': 1280}]",2025-10-17T07:30:31.635397
Hotel Ambience,Indian,"C.T.S, The Ambience Hotel, near Telephone Exchange, 1105/2, Lakaki Road, Model Colony, Shivajinagar, Pune",18.5299895,73.8381299,,4.2,"lodging,restaurant,food,bar,point_of_interest,establishment",1979,"C.T.S, The Ambience Hotel, near Telephone Exchange, 1105/2, Lakaki Road, Model Colony, Shivajinagar, Pune","[{'height': 3712, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107692693512251990783"">Hotel Ambience</a>'], 'photo_reference': 'AciIO2dJI60jZPBGXzYJKlSErA8ZQXJ97ybn4r0ybHn2V4u2v8EMZ0R4W_mq1-MLKonqy9NrDZvf_F0Q2iW63xpcsCrZeDCf4Mm3ihHoFqTjyiJ0QG4q0N8dxy39iuh-NPxOvDiFSW-M426CtbgCSl-2X6O3Cg5jUnfRZqOpuH2d9mcvQ_632siJcMsnpYDqQ0qAAvoqiz08oiHT7AWHmO2HQ8YBIA4u3dSJD41kM9AGDSi1_0EbpfiX-VeisiGFGUNWG8lPIf7yjvJBFPoqF63HCPDMAoihgxu_uemLY-iq1AAwGBvP1oBlZ4l-xofaQE7EV1oco_jiMj4', 'width': 5568}]",2025-10-17T07:30:31.736772
"Orchard Resort | Event Planner, Corporate Events, Wedding Planner, Corporate Party, Wedding Venues Near Pune.",Indian,"Orchard Resort village kelawade, Tal- Bhor 5 km ahead of Khed Shivapur, Toll Plaza, Pune",18.4454096,73.8234191,,3.6,"amusement_park,lodging,restaurant,food,bar,point_of_interest,establishment",861,"Orchard Resort village kelawade, Tal- Bhor 5 km ahead of Khed Shivapur, Toll Plaza, Pune","[{'height': 667, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114865779645021353020"">Mighty Magpie</a>'], 'photo_reference': 'AciIO2e4wWO2-r8jTomSXr1onK2RBzJpFfWN_NhVJEJ1utlRfCotP9lTumIDqGwSwWU0fMyyzZfQKextRlFsWCz4FHnFpbd72DX_6L3aPMc7Cgm2VVC4xZPD5s_QwyFJbvKcIFLwU3aN_Qq7A6xun3JJ4wP-yDm_2MMjAd3EAD4vf_jux0K5PoJ_yvvP0c5G6KiAfXFeE00dKAkZy_Px7iblF1FlVUcc43K9RnDBl2gWffnKFgljntrLbvlstH8vd-FIxtLDQSq0R5oC7-2WYJu64VfAocBpW5AR7wsZ8nCqSydA7Rs-v_0s3q5giVAqopAgzObKY7EsZB4Zk_JZ4r1uVI3qK5T8taUr2ZIKMIOBpOYIFwQwXkErWLvHTUq9K-AIVyDlxHk0NDhg8vXCM73qI6sX5lcXWH3qcaOdBHb06jO1zHjf50hnHAkgDDUAkS-yB0VAm6Du4iIUKGml2H-Ud9EXLX-TjvQwLGp51newZvco4CXqMrmmCzjtmwNp5MBpk2GC-XBIYx8MY3RUSkt0TRG_LffEQLkBvcIChqj0wiIorGdnpa1ToSZgCLBRA72HgITDEulztdTbYgQhPxiSLgx9-UFPavwM8c_G7q7vQr2ICYFbRJPFQf6Na_AvDmfm0JKW0aUq', 'width': 1000}]",2025-10-17T07:30:31.839097
Subway Mariplex,Indian,"Shop No. 16, Adlabs Multiplex, Marigold complex, Kalyani Nagar, Pune",18.5453853,73.9063248,,3.7,"cafe,restaurant,food,point_of_interest,establishment",380,"Shop No. 16, Adlabs Multiplex, Marigold complex, Kalyani Nagar, Pune","[{'height': 1836, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108938807147814555272"">Alam Shaikh</a>'], 'photo_reference': 'AciIO2f-65pKXQks5BlHAgP2mwv-TWVzZWyKrOGd31HzajCdis9vqZQxlWUtgS_LkPSXF_kXC0B9M9ikkSkMpTJ3yzgLoBZGf3rlTJKovpr40IR5vARNcHWiu3O08cdwoJVsH_AerBRM0daQOxA49_xbLCyA3eqqMtEHWKyvbjlzNSXUpsLY9FEB_T8TN50B9SQKvQ-Tq3pjpxGB65QS0i6gFLZXO57ntWMhPcXLU4NXcKJqUkJIiJq5u6SIjU6B4smJom3r6kg8qRVjcaGrKJkF9yrIpIdRIWYbU7XgfQ5DaWfwAt7-oGiaPsi4v7LK8UxS3bkAHuALFzx_KjrkslfdEdkE6R4plvTCMasMiCGyLqrnFEWZi-MgiMD_pwc-FIsczpgFKBaQvLWqD4fjp_92cNJUfcTUXvOQxUpuBNiqJiJub18MMt8n8DwhjZepZmi8GMMAfddOJk-Ia6FMuKIfVs6pkWuunRxJIBjpZ4BbOxFlzSUP0WWuR4eQQd9Ihl_cscsbN6yOfQLVa5jZqrdycGhYhqHWaDqTWkLMrgmwUsqLn6sC8kJQaV-WOLGpclIuymeg5ALyR0NuTO5ESYSmtP2jPbjxzdHB0LCfWT6syL-Cmum-IpICxWiTV2YWYCOwD8W0ls_t', 'width': 3264}]",2025-10-17T07:30:31.941167
